Sample Name,Treatment Group
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep1,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep2,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep3,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep4,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep5,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep6,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep7,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep8,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLLC_Rep9,22-24 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep1,22-24 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep2,22-24 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep3,22-24 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU-RL_Rep4,22-24 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep1,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep2,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep3,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep4,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep5,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_22-24mon_HLU_Rep6,22-24 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLLC_Rep1,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep2,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep3,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep4,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep5,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep6,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep7,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep8,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLLC_Rep9,6 month & Not Applicable & Normally Loaded Control
Mmus_C57-6CR_SLS_6mon_HLU-RL_Rep1,6 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU-RL_Rep2,6 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU-RL_Rep3,6 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU-RL_Rep4,6 month & 3 day & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU_Rep1,6 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU_Rep2,6 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU_Rep3,6 month & Not Applicable & Hindlimb Unloaded
Mmus_C57-6CR_SLS_6mon_HLU_Rep4,6 month & Not Applicable & Hindlimb Unloaded
